y,m-d,deaths
2020,feb-22,0
2020,feb-23,0
2020,feb-24,0
2020,feb-25,0
2020,feb-26,0
2020,feb-27,0
2020,feb-28,0
2020,feb-29,0
2020,mar-01,0
2020,mar-02,0
2020,mar-03,0
2020,mar-04,1
2020,mar-05,2
2020,mar-06,2
2020,mar-07,3
2020,mar-08,9
2020,mar-09,11
2020,mar-10,19
2020,mar-11,12
2020,mar-12,37
2020,mar-13,36
2020,mar-14,75
2020,mar-15,94
2020,mar-16,189
2020,mar-17,182
2020,mar-18,107
2020,mar-19,169
2020,mar-20,235
2020,mar-21,324
2020,mar-22,394
2020,mar-23,462
2020,mar-24,514
2020,mar-25,738
2020,mar-26,655
2020,mar-27,769
2020,mar-28,832
2020,mar-29,838
2020,mar-30,812
2020,mar-31,849
2020,abr-01,864
2020,abr-02,950
2020,abr-03,932
2020,abr-04,809
2020,abr-05,674
2020,abr-06,637
2020,abr-07,743
2020,abr-08,757
2020,abr-09,683
2020,abr-10,605
2020,abr-11,510
2020,abr-12,619
2020,abr-13,517
2020,abr-14,567
2020,abr-15,523
2020,abr-16,551
2020,abr-17,348
2020,abr-18,565
2020,abr-19,410
2020,abr-20,399
2020,abr-21,430
2020,abr-22,435
2020,abr-23,440
2020,abr-24,367
2020,abr-25,378
2020,abr-26,288
2020,abr-27,331
2020,abr-28,301
2020,abr-29,453
2020,abr-30,268
2020,may-01,281
2020,may-02,276
2020,may-03,164
2020,may-04,164
2020,may-05,185
2020,may-06,244
2020,may-07,213
2020,may-08,229
2020,may-09,179
2020,may-10,143
2020,may-11,123
2020,may-12,176
2020,may-13,184
2020,may-14,217
2020,may-15,138
2020,may-16,104
2020,may-17,87
2020,may-18,59
2020,may-19,69
2020,may-20,110
2020,may-21,52
2020,may-22,688
2020,may-23,50
2020,may-24,74
2020,may-25,0
2020,may-26,283
2020,may-27,1
2020,may-28,1
2020,may-29,2
2020,may-30,4
2020,may-31,2
2020,jun-01,0
2020,jun-02,0
2020,jun-03,1
2020,jun-04,5
2020,jun-05,1
2020,jun-06,1
2020,jun-07,1
2020,jun-08,0
2020,jun-09,0
2020,jun-10,0
2020,jun-11,0
2020,jun-12,0
2020,jun-13,0
2020,jun-14,0
2020,jun-15,0
2020,jun-16,0
2020,jun-17,0
2020,jun-18,0
2020,jun-20,7
2020,jun-21,1
2020,jun-22,1
2020,jun-23,1
2020,jun-24,2
2020,jun-25,3
2020,jun-26,8
2020,jun-27,3
2020,jun-28,2
2020,jun-29,3
2020,jun-30,9
2020,jul-01,8
2020,jul-02,5
